,Series_Title,Released_Year,Genre,Overview,IMDB_Rating,Director,Stars
744,The Lego Movie,2014,anim action adventur,ordinari lego construct worker thought prophesi special recruit join quest stop evil tyrant glu lego univers etern stasi,7.7,christoph miller,phil lord chri pratt ferrel elizabeth bank
745,Gravity,2013,drama scifi thriller,astronaut work surviv accid leav strand space,7.7,alfonso cuarón,sandra bullock georg clooney ed harri orto ignatiussen
746,Star Trek Into Darkness,2013,action adventur scifi,crew enterpris unstopp forc terror organ captain kirk lead manhunt warzon world captur oneman weapon mass destruct,7.7,jj abram,chri pine zachari quinto zoe saldana benedict cumberbatch
747,Beasts of No Nation,2015,drama war,drama base experi agu child soldier fight civil war unnam african countri,7.7,cari joji fukunaga,abraham attah emmanuel affadzi ricki adelayitor andrew adot
748,The Social Network,2010,biographi drama,harvard student mark zuckerberg creat social network site known facebook su twin claim stole idea cofound later squeez busi,7.7,david fincher,jess eisenberg andrew garfield justin timberlak rooney mara
749,X: First Class,2011,action adventur scifi,s superpow human charl xavier erik lensherr work like erik veng pursuit ambiti mutant ruin life caus schism divid,7.7,matthew vaughn,jame mcavoy michael fassbend jennif lawrenc kevin bacon
750,The Hangover,2009,comedi,buddi wake bachelor parti la vega memori previou night bachelor miss make way citi order friend wed,7.7,todd phillip,zach galifianaki bradley cooper justin bartha ed helm
751,Skyfall,2012,action adventur thriller,jame bond loyalti m test past come haunt mi come attack track destroy threat matter person cost,7.7,sam mend,daniel craig javier bardem naomi harri judi dench
752,Silver Linings Playbook,2012,comedi drama romanc,stint mental institut teacher pat solitano move parent tri reconcil exwif thing challeng pat meet tiffani mysteri girl problem,7.7,david o russel,bradley cooper jennif lawrenc robert niro jacki weaver
753,Argo,2012,biographi drama thriller,act cover hollywood produc scout locat scienc fiction film cia agent launch danger oper rescu american tehran hostag crisi iran,7.7,ben affleck,ben affleck bryan cranston john goodman alan arkin
754,(500) Days of Summer,2009,comedi drama romanc,offbeat romant comedi woman doesnt believ true love exist young man fall,7.7,marc webb,zooey deschanel joseph gordonlevitt geoffrey arend chloë grace moretz
755,Harry Potter and the Deathly Hallows: Part 1,2010,adventur famili fantasi,harri ron hermion race time evil destroy horcrux uncov exist power object wizard world deathli hallow,7.7,david yate,daniel radcliff emma watson rupert grint nighi
756,Gake no ue no Ponyo,2008,anim adventur comedi,fiveyearold boy develop relationship ponyo young goldfish princess long human fall love,7.7,hayao miyazaki,cate blanchett matt damon liam neeson tomoko yamaguchi
757,Frost/Nixon,2008,biographi drama histori,dramat retel postwaterg televis interview british talkshow host david frost presid richard nixon,7.7,ron howard,frank langella michael sheen kevin bacon sam rockwel
758,Papurika,2006,anim drama fantasi,machin allow therapist enter patient dream stolen hell break loos young femal therapist paprika stop,7.7,satoshi kon,megumi hayashibara tôru emori katsunosuk hori tôru furuya
759,Changeling,2008,biographi crime drama,griefstricken mother christin collin angelina joli take lapd detriment tri pass obviou impostor miss child,7.7,clint eastwood,angelina joli colm feor ami ryan gattlin griffith
760,Flipped,2010,comedi drama romanc,eighthgrad start feel despit total opposit,7.7,rob reiner,madelin carrol callan mcauliff rebecca mornay anthoni edward
761,Toki o kakeru shôjo,2006,anim adventur comedi,highschool girl name makoto acquir power travel time decid use person benefit littl doe know affect live just,7.7,mamoru hosoda,riisa naka takuya ishida mitsutaka itakura ayami kakiuchi
762,Death Note: Desu nôto,2006,crime drama fantasi,battl world greatest mind begin light yagami find death note notebook power kill decid rid world crimin,7.7,shûsuke kaneko,tatsuya fujiwara kenichi matsuyama asaka seto yû kashii
763,This Is England,2006,crime drama,young boy friend gang skinhead friend soon like famili relationship push limit,7.7,shane meadow,thoma turgoos stephen graham jo hartley andrew shim
764,Ex Machina,2014,drama scifi thriller,young programm select particip groundbreak experi synthet intellig evalu human qualiti highli advanc humanoid ai,7.7,alex garland,alicia vikand domhnal gleeson oscar isaac sonoya mizuno
765,Efter brylluppet,2006,drama,manag orphanag india sent copenhagen denmark discov lifealt famili secret,7.7,susann bier,mad mikkelsen sids babett knudsen rolf lassgård neeral mulchandani
766,The Last King of Scotland,2006,biographi drama histori,base event brutal ugandan dictat idi amin regim seen person physician s,7.7,kevin macdonald,jame mcavoy forest whitak gillian anderson kerri washington
767,Zodiac,2007,crime drama mysteri,late searli s san francisco cartoonist amateur detect obsess track zodiac killer unidentifi individu terror northern california kill spree,7.7,david fincher,jake gyllenha robert downey jr mark ruffalo anthoni edward
768,Lucky Number Slevin,2006,action crime drama,case mistaken ident land slevin middl war plot citi rival crime boss constant surveil detect brikowski assassin goodkat,7.7,paul mcguigan,josh hartnett ben kingsley morgan freeman luci liu
769,Joyeux Noël,2005,drama histori music,decemb unoffici christma truce western allow soldier oppos side world war gain insight way life,7.7,christian carion,dian kruger benno fürmann guillaum canet natali dessay
770,Control,2007,biographi drama music,profil ian curti enigmat singer joy divis person profession romant troubl led commit suicid age,7.7,anton corbijn,sam riley samantha morton craig parkinson alexandra maria lara
771,Tangled,2010,anim adventur comedi,magic longhair rapunzel spent entir life tower runaway thief stumbl discov world time realli,7.7,nathan greno,byron howard mandi moor zachari levi donna murphi
772,Zwartboek,2006,drama thriller war,nazioccupi netherland world war ii jewish singer infiltr region gestapo headquart dutch resist,7.7,paul verhoeven,caric van houten sebastian koch thom hoffman halina reijn
773,Brokeback Mountain,2005,drama romanc,stori forbidden secret relationship cowboy live year,7.7,ang lee,jake gyllenha heath ledger michel william randi quaid
774,3:10 to Yuma,2007,action crime drama,smalltim rancher agre hold captur outlaw who await train court yuma battl will ensu outlaw tri psych rancher,7.7,jame mangold,russel crow christian bale ben foster logan lerman
775,Crash,2004,crime drama thriller,lo angel citizen vastli separ live collid interweav stori race loss redempt,7.7,paul haggi,don cheadl sandra bullock thandi newton karina arroyav
776,Kung fu,2004,action comedi fantasi,shanghai china s wannab gangster aspir join notori axe gang resid hous complex exhibit extraordinari power defend turf,7.7,stephen chow,stephen chow wah yuen qiu yuen siulung leung
777,The Bourne Supremacy,2004,action mysteri thriller,jason bourn frame cia oper gone awri forc resum life train assassin surviv,7.7,paul greengrass,matt damon franka potent joan allen brian cox
778,The Machinist,2004,drama thriller,industri worker slept year begin doubt saniti,7.7,brad anderson,christian bale jennif jason leigh aitana sánchezgijón john sharian
779,Ray,2004,biographi drama music,stori life career legendari rhythm blue musician ray charl humbl begin south went blind age seven meteor rise stardom s s,7.7,taylor hackford,jami foxx regina king kerri washington clifton powel
780,Lost in Translation,2003,comedi drama,fade movi star neglect young woman form unlik bond cross path tokyo,7.7,sofia coppola,murray scarlett johansson giovanni ribisi anna fari
781,Harry Potter and the Goblet of Fire,2005,adventur famili fantasi,harri potter find compet hazard tournament rival school magic distract recur nightmar,7.7,mike newel,daniel radcliff emma watson rupert grint eric syke
782,Man on Fire,2004,action crime drama,mexico citi cia oper swear vengeanc commit unspeak act famili hire protect,7.7,toni scott,denzel washington christoph walken dakota fan radha mitchel
783,Coraline,2009,anim drama famili,adventur yearold girl find world strang ideal version frustrat home sinist secret,7.7,henri selick,dakota fan teri hatcher john hodgman jennif saunder
784,The Last Samurai,2003,action drama,american militari advisor embrac samurai cultur hire destroy captur battl,7.7,edward zwick,tom cruis ken watanab billi connolli william atherton
785,The Magdalene Sisters,2002,drama,young irish women struggl maintain spirit endur dehuman abus inmat magdalen sister asylum,7.7,peter mullan,eileen walsh dorothi duffi norajan annemari duff
786,Good Bye Lenin!,2003,comedi drama romanc,protect fragil mother fatal shock long coma young man learn belov nation east germani knew disappear,7.7,wolfgang becker,daniel brühl katrin saß chulpan khamatova florian luka
787,In America,2002,drama,famili irish immigr adjust life mean street hell kitchen griev death child,7.7,jim sheridan,paddi considin samantha morton djimon hounsou sarah bolger
788,I Am Sam,2001,drama,mental handicap man fight custodi yearold daughter process teach coldheart lawyer valu love famili,7.7,jessi nelson,sean penn michel pfeiffer dakota fan diann wiest
789,Adaptation.,2002,comedi drama,lovelorn screenwrit desper tri fail adapt orchid thief susan orlean screen,7.7,spike jonz,nicola cage meryl streep chri cooper tilda swinton
790,Black Hawk Down,2001,drama histori war,elit soldier drop somalia captur lieuten renegad warlord desper battl larg forc heavilyarm somali,7.7,ridley scott,josh hartnett ewan mcgregor tom sizemor eric bana
791,Road to Perdition,2002,crime drama thriller,mob enforc son wit murder forc father road father path redempt reveng,7.7,sam mend,tom hank tyler hoechlin rob maxey liam aiken
792,Das Experiment,2001,drama thriller,week male particip hire play prison guard prison prison follow seemingli mild rule guard told retain order use physic violenc,7.7,oliv hirschbiegel,moritz bleibtreu christian berkel oliv stokowski wotan wilk möhring
793,Billy Elliot,2000,drama music,talent young boy torn unexpect love danc disintegr famili,7.7,stephen daldri,jami bell juli walter jean heywood jami draven
794,Hedwig and the Angry Inch,2001,comedi drama music,genderqu punkrock singer east berlin tour band tell life stori follow loverbandm stole song,7.7,john cameron mitchel,john cameron mitchel miriam shor stephen trask theodor liscinski
795,Ocean's Eleven,2001,crime thriller,danni ocean accomplic plan rob la vega casino simultan,7.7,steven soderbergh,georg clooney brad pitt julia robert matt damon
796,Vampire Hunter D: Bloodlust,2000,anim action fantasi,girl abduct vampir legendari bounti hunter hire bring,7.7,yoshiaki kawajiri,andrew philpot john rafter lee pamela adlon wende lee
797,"O Brother, Where Art Thou?",2000,adventur comedi crime,deep south s escap convict search hidden treasur relentless lawman pursu,7.7,joel coen,ethan coen georg clooney john turturro tim blake nelson
798,Interstate 60: Episodes of the Road,2002,adventur comedi drama,neal oliv confus young man artist take journey lifetim highway doesnt exist map go place heard search answer dreamgirl,7.7,bob gale,jame marsden gari oldman kurt russel matthew edison
799,"South Park: Bigger, Longer & Uncut",1999,anim comedi fantasi,stan marsh friend rrate movi start curs parent think canada blame,7.7,trey parker,trey parker matt stone mari kay bergman isaac hay
800,Office Space,1999,comedi,compani worker hate job decid rebel greedi boss,7.7,mike judg,ron livingston jennif aniston david herman ajay naidu
801,Happiness,1998,comedi drama,live individu intertwin live uniqu way engag act societi disturb desper search human connect,7.7,todd solondz,jane adam jon lovitz philip seymour hoffman dylan baker
802,Training Day,2001,crime drama thriller,rooki cop spend day lo angel narcot offic rogu detect isnt appear,7.7,antoin fuqua,denzel washington ethan hawk scott glenn tom bereng
803,Rushmore,1998,comedi drama romanc,extracurricular king rushmor preparatori school academ probat,7.7,we anderson,jason schwartzman murray olivia william seymour cassel
804,Abre los ojos,1997,drama mysteri scifi,handsom man find love life suffer accid need face rebuilt surgeri sever disfigur,7.7,alejandro amenábar,eduardo noriega penélop cruz chete lera fele martínez
805,Being John Malkovich,1999,comedi drama fantasi,puppet discov portal lead liter head movi star john malkovich,7.7,spike jonz,john cusack cameron diaz catherin keener john malkovich
806,As Good as It Gets,1997,comedi drama romanc,singl mother waitress misanthrop author gay artist form unlik friendship artist assault robberi,7.7,jame l brook,jack nicholson helen hunt greg kinnear cuba good jr
807,The Fifth Element,1997,action adventur scifi,color futur cab driver unwittingli central figur search legendari cosmic weapon evil mr zorg bay,7.7,luc besson,bruce willi milla jovovich gari oldman ian holm
808,Le dîner de cons,1998,comedi,friend weekli fool dinner bring fool pierr find champion fool dinner surpris,7.7,franci veber,thierri lhermitt jacqu villeret franci huster daniel prévost
809,Donnie Brasco,1997,biographi crime drama,fbi undercov agent infiltr mob find identifi mafia life expens regular,7.7,mike newel,al pacino johnni depp michael madsen bruno kirbi
810,Shine,1996,biographi drama music,pianist david helfgott driven father teacher breakdown year later return piano popular critic acclaim,7.7,scott hick,geoffrey rush armin muellerstahl justin brain sonia todd
811,Primal Fear,1996,crime drama mysteri,altar boy accus murder priest truth buri layer deep,7.7,gregori hoblit,richard gere laura linney edward norton john mahoney
812,Hamlet,1996,drama,hamlet princ denmark return home father murder mother remarri murder uncl war brew,7.7,kenneth branagh,kenneth branagh juli christi derek jacobi kate winslet
813,A Little Princess,1995,drama famili fantasi,young girl releg servitud board school father goe miss presum dead,7.7,alfonso cuarón,liesel matthew eleanor bron liam cunningham rusti schwimmer
814,Do lok tin si,1995,comedi crime drama,hong kongset crime drama follow live hitman hope busi elus femal partner,7.7,karwai wong,leon lai michel rei takeshi kaneshiro charli yeung
815,Il postino,1994,biographi comedi drama,simpl italian postman learn love poetri deliv mail famou poet use woo local beauti beatric,7.7,michael radford,massimo troisi massimo troisi philipp noiret maria grazia cucinotta
816,Clerks,1994,comedi,day live conveni clerk name dant randal annoy custom discuss movi play hockey store roof,7.7,kevin smith,brian ohalloran jeff anderson marilyn ghigliotti lisa spoonauer
817,Short Cuts,1993,comedi drama,daytoday live suburban lo angel resid,7.7,robert altman,andi macdowel juliann moor tim robbin bruce davison
818,Philadelphia,1993,drama,man hiv fire law firm condit hire homophob small time lawyer will advoc wrong dismiss suit,7.7,jonathan demm,tom hank denzel washington roberta maxwel buzz kilman
819,The Muppet Christmas Carol,1992,comedi drama famili,muppet charact tell version classic tale old bitter miser redempt christma eve,7.7,brian henson,michael cain kermit frog dave goelz miss piggi
820,Malcolm X,1992,biographi drama histori,biograph epic controversi influenti black nationalist leader earli life career smalltim gangster ministri member nation islam,7.7,spike lee,denzel washington angela bassett delroy lindo spike lee
821,The Last of the Mohicans,1992,action adventur drama,trapper protect daughter british colonel midst french indian war,7.7,michael mann,daniel daylewi madelein stow russel mean eric schweig
822,Kurenai no buta,1992,anim adventur comedi,s itali veteran world war pilot curs look like anthropomorph pig,7.7,hayao miyazaki,shûichirô moriyama tokiko katô bunshi katsura vi tsunehiko kamijô
823,Glengarry Glen Ross,1992,crime drama mysteri,examin machin scene real estat offic,7.7,jame foley,al pacino jack lemmon alec baldwin alan arkin
824,A Few Good Men,1992,drama thriller,militari lawyer lieuten daniel kaffe defend marin accus murder contend act order,7.7,rob reiner,tom cruis jack nicholson demi moor kevin bacon
825,Fried Green Tomatoes,1991,drama,housewif unhappi life befriend old ladi nurs home enthral tale tell peopl use know,7.7,jon avnet,kathi bate jessica tandi mari stuart masterson marylouis parker
826,Barton Fink,1991,comedi drama thriller,renown new york playwright entic california write movi discov hellish truth hollywood,7.7,joel coen,ethan coen john turturro john goodman judi davi
827,Miller's Crossing,1990,crime drama thriller,tom reagan advisor prohibitionera crime boss tri peac war mob get caught divid loyalti,7.7,joel coen,ethan coen gabriel byrn albert finney john turturro
828,Who Framed Roger Rabbit,1988,anim adventur comedi,toonhat detect cartoon rabbit hope prove innoc accus murder,7.7,robert zemecki,bob hoskin christoph lloyd joanna cassidi charl fleischer
829,Spoorloos,1988,mysteri thriller,rex saskia young coupl love vacat stop busi servic station saskia abduct year sign saskia rex begin receiv letter abductor,7.7,georg sluizer,bernardpierr donnadieu gene bervoet johanna ter steeg gwen eckhau
830,Withnail & I,1987,comedi drama,substanceabus unemploy actor retreat countrysid holiday prove disastr,7.7,bruce robinson,richard e grant paul mcgann richard griffith ralph brown
831,The Last Emperor,1987,biographi drama histori,stori final emperor china,7.7,bernardo bertolucci,john lone joan chen peter otool ruocheng ying
832,Empire of the Sun,1987,action drama histori,young english boy struggl surviv japanes occup world war ii,7.7,steven spielberg,christian bale john malkovich miranda richardson nigel haver
833,Der Name der Rose,1986,crime drama mysteri,intellectu nonconformist friar investig seri mysteri death isol abbey,7.7,jeanjacqu annaud,sean conneri christian slater helmut qualting elya baskin
834,Blue Velvet,1986,drama mysteri thriller,discoveri sever human ear field lead young man investig relat beauti mysteri nightclub singer group psychopath crimin kidnap child,7.7,david lynch,isabella rossellini kyle maclachlan denni hopper laura dern
835,The Purple Rose of Cairo,1985,comedi fantasi romanc,new jersey movi charact walk screen real world,7.7,woodi allen,mia farrow jeff daniel danni aiello irv metzman
836,After Hours,1985,comedi crime drama,ordinari word processor worst night life agre visit girl soho met even coffe shop,7.7,martin scorses,griffin dunn rosanna arquett verna bloom tommi chong
837,Zelig,1983,comedi,documentari man look act like he meet variou famou peopl,7.7,woodi allen,woodi allen mia farrow patrick horgan john buckwalt
838,The Verdict,1982,drama,lawyer see chanc salvag career selfrespect take medic malpractic case trial settl,7.7,sidney lumet,paul newman charlott rampl jack warden jame mason
839,Star Trek II: The Wrath of Khan,1982,action adventur scifi,assist enterpris crew admir kirk stop old nemesi khan noonien singh use lifegener genesi devic ultim weapon,7.7,nichola meyer,william shatner leonard nimoy deforest kelley jame doohan
840,First Blood,1982,action adventur,veteran green beret forc cruel sheriff deputi flee mountain wage escal oneman war pursuer,7.7,ted kotcheff,sylvest stallon brian dennehi richard crenna mckinney
841,Ordinary People,1980,drama,accident death older son affluent famili deepli strain relationship bitter mother goodnatur father guiltridden younger son,7.7,robert redford,donald sutherland mari tyler moor judd hirsch timothi hutton
842,Airplane!,1980,comedi,man afraid fli ensur plane land safe pilot sick,7.7,jim abraham,david zucker jerri zucker robert hay juli hagerti
843,Rupan sansei: Kariosutoro no shiro,1979,anim adventur famili,dash thief gang desperado intrepid policeman struggl free princess evil count clutch learn hidden secret fabul treasur hold key,7.7,hayao miyazaki,yasuo yamada eiko masuyama kiyoshi kobayashi makio inou
844,Halloween,1978,horror thriller,year murder sister halloween night michael myer escap mental hospit return small town haddonfield illinoi kill,7.7,john carpent,donald pleasenc jami lee curti toni moran nanci kye
845,Le locataire,1976,drama thriller,bureaucrat rent pari apart find drawn rabbit hole danger paranoia,7.7,roman polanski,roman polanski isabel adjani melvyn dougla jo van fleet
846,Love and Death,1975,comedi war,czarist russia neurot soldier distant cousin formul plot assassin napoleon,7.7,woodi allen,woodi allen dian keaton georg adet frank adu
847,The Taking of Pelham One Two Three,1974,action crime thriller,new york arm men hijack subway car demand ransom passeng paid away,7.7,joseph sargent,walter matthau robert shaw martin balsam hector elizondo
848,Blazing Saddles,1974,comedi western,order ruin western town corrupt politician appoint black sheriff promptli formid adversari,7.7,mel brook,cleavon littl gene wilder slim picken harvey korman
849,Serpico,1973,biographi crime drama,honest new york cop name frank serpico blow whistl rampant corrupt forc comrad turn,7.7,sidney lumet,al pacino john randolph jack keho biff mcguir
850,Enter the Dragon,1973,action crime drama,secret agent come opium lord island fortress fighter martialart tournament,7.7,robert clous,bruce lee john saxon jim kelli ahna capri
851,Deliverance,1972,adventur drama thriller,intent see cahulawasse river dam turn lake outdoor fanat lewi medlock take friend cano trip theyll forget danger american backcountri,7.7,john boorman,jon voight burt reynold ned beatti ronni cox
852,The French Connection,1971,action crime drama,pair nyc cop narcot bureau stumbl drug smuggl job french connect,7.7,william friedkin,gene hackman roy scheider fernando rey toni lo bianco
853,Dirty Harry,1971,action crime thriller,madman call scorpio killer menac citi toughasnail san francisco polic inspector dirti harri callahan assign track ferret craze psychopath,7.7,don siegel,clint eastwood andrew robinson harri guardino reni santoni
854,Where Eagles Dare,1968,action adventur war,alli agent stage dare raid castl nazi hold american brigadi gener georg carnabi prison that that realli go,7.7,brian g hutton,richard burton clint eastwood mari ure patrick wymark
855,The Odd Couple,1968,comedi,friend tri share apart idea housekeep lifestyl differ night day,7.7,gene sak,jack lemmon walter matthau john fiedler herb edelman
856,The Dirty Dozen,1967,action adventur war,world war ii rebelli armi major assign dozen convict murder train lead mass assassin mission german offic,7.7,robert aldrich,lee marvin ernest borgnin charl bronson john cassavet
857,Belle de jour,1967,drama romanc,frigid young housewif decid spend midweek afternoon prostitut,7.7,lui buñuel,catherin deneuv jean sorel michel piccoli genevièv page
858,A Man for All Seasons,1966,biographi drama histori,stori sir thoma stood king henri viii king reject roman cathol church obtain divorc remarri,7.7,fred zinnemann,paul scofield wendi hiller robert shaw leo mckern
859,Repulsion,1965,drama horror thriller,sexrepuls woman disapprov sister boyfriend sink depress horrif vision rape violenc,7.7,roman polanski,catherin deneuv ian hendri john fraser yvonn furneaux
860,Zulu,1964,drama histori war,outnumb british soldier battl zulu warrior rork drift,7.7,cy endfield,stanley baker jack hawkin ulla jacobsson jame booth
861,Goldfinger,1964,action adventur thriller,investig gold magnat smuggl jame bond uncov plot contamin fort knox gold reserv,7.7,guy hamilton,sean conneri gert fröbe honor blackman shirley eaton
862,The Birds,1963,drama horror mysteri,wealthi san francisco socialit pursu potenti boyfriend small northern california town slowli take turn bizarr bird kind suddenli begin attack peopl,7.7,alfr hitchcock,rod taylor tippi hedren jessica tandi suzann pleshett
863,Cape Fear,1962,drama thriller,lawyer famili stalk man help jail,7.7,j lee thompson,gregori peck robert mitchum polli bergen lori martin
864,Peeping Tom,1960,drama horror thriller,young man murder women use movi camera film die express terror,7.7,michael powel,karlheinz böhm anna massey moira shearer maxin audley
865,The Magnificent Seven,1960,action adventur western,seven gunfight hire mexican peasant liber villag oppress bandit,7.7,john sturg,yul brynner steve mcqueen charl bronson eli wallach
866,Les yeux sans visage,1960,drama horror,surgeon caus accid leav daughter disfigur goe extrem new face,7.7,georg franju,pierr brasseur alida valli juliett mayniel alexandr rignault
867,Invasion of the Body Snatchers,1956,drama horror scifi,smalltown doctor learn popul commun replac emotionless alien duplic,7.7,don siegel,kevin mccarthi dana wynter larri gate king donovan
868,Rebel Without a Cause,1955,drama,rebelli young man troubl past come new town find friend enemi,7.7,nichola ray,jame dean natali wood sal mineo jim backu
869,The Ladykillers,1955,comedi crime,oddbal crimin plan bank robberi rent room culdesac octogenarian widow pretext classic musician,7.7,alexand mackendrick,alec guin peter seller cecil parker herbert lom
870,Sabrina,1954,comedi drama romanc,playboy interest daughter famili chauffeur brother better man,7.7,billi wilder,humphrey bogart audrey hepburn william holden walter hampden
871,The Quiet Man,1952,comedi drama romanc,retir american boxer return villag birth ireland fall spirit redhead brother contemptu union,7.7,john ford,john wayn maureen ohara barri fitzgerald ward bond
872,The Day the Earth Stood Still,1951,drama scifi,alien land tell peopl earth live peac destroy danger planet,7.7,robert wise,michael renni patricia neal hugh marlow sam jaff
873,The African Queen,1951,adventur drama romanc,wwi africa ginswil riverboat captain persuad straitlac missionari use boat attack enemi warship,7.7,john huston,humphrey bogart katharin hepburn robert morley peter bull
874,Gilda,1946,drama filmnoir romanc,smalltim gambler hire work bueno air casino discov employ new wife lover,7.7,charl vidor,rita hayworth glenn ford georg macreadi joseph calleia
875,Fantasia,1940,anim famili fantasi,collect anim interpret great work western classic music,7.7,jame algar,samuel armstrong ford beeb jr norman ferguson david hand
876,The Invisible Man,1933,horror scifi,scientist find way invis do murder insan,7.7,jame whale,claud rain gloria stuart william harrigan henri traver
877,Dark Waters,2019,biographi drama histori,corpor defens attorney take environment lawsuit chemic compani expos lengthi histori pollut,7.6,todd hayn,mark ruffalo ann hathaway tim robbin pullman
878,Searching,2018,drama mysteri thriller,teenag daughter goe miss desper father tri clue laptop,7.6,aneesh chaganti,john cho debra mess joseph lee michel la
879,Once Upon a Time... in Hollywood,2019,comedi drama,fade televis actor stunt doubl strive achiev fame success final year hollywood golden age lo angel,7.6,quentin tarantino,leonardo dicaprio brad pitt margot robbi emil hirsch
880,Nelyubov,2017,drama,coupl go divorc team son disappear bitter argument,7.6,andrey zvyagintsev,maryana spivak aleksey rozin matvey novikov marina vasileva
881,The Florida Project,2017,drama,set summer film follow precoci sixyearold moone court mischief adventur ragtag playmat bond rebelli care mother live shadow walt disney world,7.6,sean baker,brooklynn princ bria vinait willem dafo christoph rivera
882,Just Mercy,2019,biographi crime drama,worldrenown civil right defens attorney bryan stevenson work free wrongli condemn death row prison,7.6,destin daniel cretton,michael b jordan jami foxx brie larson charli pye jr
883,Gifted,2017,drama,frank singl man rais child prodigi niec mari drawn custodi battl mother,7.6,marc webb,chri evan mckenna grace lindsay duncan octavia spencer
884,The Peanut Butter Falcon,2019,adventur comedi drama,zak run away care home make dream wrestler come true,7.6,tyler nilson,michael schwartz zack gottsagen ann owen dakota johnson
885,Victoria,2015,crime drama romanc,young spanish woman recent move berlin find flirtat local guy turn potenti deadli night friend reveal danger secret,7.6,sebastian schipper,laia costa frederick lau franz rogowski burak yigit
886,Mustang,2015,drama,orphan girl seen innoc play boy beach scandal conserv guardian confin forc marriag arrang,7.6,deniz gamz ergüven,güne sensoy doga zeynep doguslu tugba sunguroglu elit iscan
887,Guardians of the Galaxy Vol. 2,2017,action adventur comedi,guardian struggl team deal person famili issu notabl starlord encount father ambiti celesti ego,7.6,jame gunn,chri pratt zoe saldana dave bautista vin diesel
888,Baby Driver,2017,action crime drama,coerc work crime boss young getaway driver find take heist doom fail,7.6,edgar wright,ansel elgort jon bernthal jon hamm eiza gonzález
889,Only the Brave,2017,action biographi drama,base true stori granit mountain hotshot group elit firefight risk protect town histor wildfir,7.6,joseph kosinski,josh brolin mile teller jeff bridg jennif connelli
890,Bridge of Spies,2015,drama histori thriller,cold war american lawyer recruit defend arrest soviet spi court help cia facilit exchang spi soviet captur american u spi plane pilot franci gari power,7.6,steven spielberg,tom hank mark rylanc alan alda ami ryan
891,Incredibles 2,2018,anim action adventur,incred famili take new mission involv chang famili role bob parr mr incred manag hous wife helen elastigirl goe save world,7.6,brad bird,craig t nelson holli hunter sarah vowel huck milner
892,Moana,2016,anim adventur comedi,ancient polynesia terribl curs incur demigod maui reach moana island answer ocean seek demigod set thing right,7.6,ron clement,john musker don hall chri william aulii cravalho
893,Sicario,2015,action crime drama,idealist fbi agent enlist govern task forc aid escal war drug border area mexico,7.6,deni villeneuv,emili blunt josh brolin benicio del toro jon bernthal
894,Creed,2015,drama sport,world heavyweight champion rocki balboa serv trainer mentor adoni johnson son late friend rival apollo creed,7.6,ryan coogler,michael b jordan sylvest stallon tessa thompson phylicia rashad
895,Leviafan,2014,crime drama,russian coastal town kolya forc fight corrupt mayor told hous demolish recruit lawyer friend help man arriv bring misfortun kolya famili,7.6,andrey zvyagintsev,aleksey serebryakov elena lyadova roman madyanov vladimir vdovichenkov
896,Hell or High Water,2016,action crime drama,divorc father excon older brother resort desper scheme order save famili ranch west texa,7.6,david mackenzi,chri pine ben foster jeff bridg gil birmingham
897,Philomena,2013,biographi comedi drama,worldweari polit journalist pick stori woman search son taken away decad ago pregnant forc live convent,7.6,stephen frear,judi dench steve coogan sophi kennedi clark mare winningham
898,Dawn of the Planet of the Apes,2014,action adventur drama,grow nation genet evolv ape led caesar threaten band human survivor devast viru unleash decad earlier,7.6,matt reev,gari oldman keri russel andi serki kodi smitmcphe
899,El cuerpo,2012,mysteri thriller,detect search bodi femm fatal gone miss morgu,7.6,oriol paulo,jose coronado hugo silva belén rueda aura garrido
900,Serbuan maut,2011,action thriller,swat team trap tenement run ruthless mobster armi killer thug,7.6,gareth evan,iko uwai ananda georg ray sahetapi donni alamsyah
901,End of Watch,2012,action crime drama,shot documentarystyl film follow daili grind young polic offic la partner friend happen meet crimin forc greater,7.6,david ayer,jake gyllenha michael peña anna kendrick america ferrera
902,Kari-gurashi no Arietti,2010,anim adventur famili,clock famili fourinchtal peopl live anonym famili resid borrow simpl item make home life chang clock teenag daughter arrietti discov,7.6,hiromasa yonebayashi,ami poehler mirai shida ryûnosuk kamiki tatsuya fujiwara
903,A Star Is Born,2018,drama music romanc,musician help young singer fame age alcohol send career downward spiral,7.6,bradley cooper,ladi gaga bradley cooper sam elliott greg grunberg
904,True Grit,2010,drama western,stubborn teenag enlist help tough marshal track father murder,7.6,ethan coen,joel coen jeff bridg matt damon haile steinfeld
905,Hævnen,2010,drama romanc,live danish famili cross extraordinari riski friendship come bud loneli frailti sorrow lie wait,7.6,susann bier,mikael persbrandt trine dyrholm marku rygaard wil johnson
906,Despicable Me,2010,anim comedi crime,crimin mastermind use trio orphan girl pawn grand scheme find love profoundli chang better,7.6,pierr coffin,chri renaud steve carel jason segel russel brand
907,50/50,2011,comedi drama romanc,inspir true stori comedi center yearold guy learn cancer diagnosi subsequ struggl beat diseas,7.6,jonathan levin,joseph gordonlevitt seth rogen anna kendrick bryce dalla howard
908,Kick-Ass,2010,action comedi crime,dave lizewski unnot high school student comic book fan day decid superhero power train meaning reason,7.6,matthew vaughn,aaron taylorjohnson nicola cage chloë grace moretz garrett m brown
